"i'm,189
automatic,189
lord,,189
blown,189
kids,,189
mean,,189
forgot,189
bobby,188
meat,188
pipe,188
mark,187
ounce,187
rapping,187
days,,187
hollow,187
competition,187
dressed,187
wave,187
mouth,,186
hammer,186
boogie,186
rose,186
fighting,186
too,,186
cheap,186
bail,186
slug,185
spirit,185
dangerous,185
biggest,185
search,185
one's,185
scratch,185
crew,,184
jewelry,184
(come,184
realest,184
support,184
this?,184
cash,,184
speaking,184
stare,184
on),184
whoever,184
daily,183
now?,183
stayed,183
plans,183
champagne,183
whips,183
hell,,183
barely,183
deadly,183
travel,183
pure,182
missed,182
plastic,182
rockin',182
deep,,182
room,,182
names,182
anyway,182
know?,182
keeping,182
list,182
row,182
run,,182
books,182
times,,181
flex,181
expect,181
also,181
sleeping,181
baby),181
dead,,181
area,180
charge,180
older,180
grave,180
coupe,180
nigga!,180
golden,180
dump,179
especially,179
that),179
ease,179
seed,179
callin,179
packed,179
fully,179
strength,179
add,179
please,,179
angel,179
violence,179
sipping,179
you’re,179
sittin',179
ears,179
wheel,179
excuse,179
loves,178
where's,178
wid,178
stole,178
prince,178
kicks,178
meaning,178
my,,177
picked,177
blowin',177
punks,177
drinking,177
sippin,177
alright,,177
grass,177
standin,177
relax,177
cube,177
bringing,177
(don't,176
keepin,176
why,,176
mommy,176
[?],176
pills,176
move,,176
drinkin,176
you's,176
leavin,175
supreme,175
nothing,,175
dis,175
spot,,175
attitude,175
plane,175
x2,175
strap,175
laws,175
front,,175
lying,175
muthafuckas,175
thang,,175
cars,,175
lame,174
(uh-huh),174
soul,,174
body,,174
checks,174
peoples,174
rolls,174
smart,174
light,,173
why?,173
pieces,173
bitch!,173
wherever,173
place,,173
jaw,173
knocked,173
show,,173
change,,172
knowin,172
ago,172
hustler,172
pain,,172
mister,172
floor,,172
writing,171
bringin,171
(all,171
ate,171
cocked,171
lesson,171
homie,,171
boots,171
feelings,171
casket,171
glocks,171
bones,171
hurts,171
mention,170
myself,,170
tie,170
school,,170
strictly,170
apart,170
flat,170
movin',169
maintain,169
able,169
dry,169
kings,169
dope,,169
posse,169
signs,169
drawers,169
"the,168
lucky,168
grabbed,168
‘em,168
hater,168
likes,168
letter,168
chose,168
hello,168
dinner,168
pulling,168
studio,168
rubber,167
beam,167
laying,167
gangster,167
focus,167
hug,167
best,,167
beat,,167
fool,,167
closer,166
riches,166
crack,,166
deeper,166
popping,166
jimmy,166
belly,166
sugar,166
sword,166
punch,166
person,166
floss,166
storm,166
bang,,166
snow,165
simply,165
admit,165
brother,,165
???,165
afford,165
bridge,165
frontin,165
settle,165
play,,165
season,165
hating,164
rhymes,,164
pounds,164
together,,164
done,,164
broads,164
hotter,164
science,164
cards,164
family,,164
cha,164
trippin',163
murder,,163
whats,163
muthafuckin,163
wipe,163
thug,,163
suit,163
screamin,163
kool,162
everybody's,162
stones,162
warm,162
hoping,162
finished,162
due,162
for?,162
fire,,162
party,,162
much,,162
what?),162
bustin',162
actin',161
view,161
doctor,161
circle,161
jungle,161
bond,161
page,161
kickin,161
mary,161
emcees,161
product,161
tony,161
scott,161
cowards,160
draw,160
gives,160
kim,160
horse,160
inch,160
moved,160
palm,160
left,,160
birth,160
bob,160
energy,159
victim,159
gangsta,,159
thirty,159
woulda,159
wings,159
2pac,159
losing,159
dimes,159
l.a.,159
on!,159
gain,159
peace,,159
video,159
tap,158
rat,158
phony,158
michael,158
hatin,158
angels,158
often,158
touched,158
dawn,158
cannot,158
bound,158
wait,,158
rub,158
join,158
partner,158
miles,158
roots,158
hearts,157
connect,157
uptown,157
certain,157
pro,157
van,157
crews,157
[hook:,157
breakin,157
written,157
model,157
apple,156
waitin',156
trash,156
toss,156
young,,156
i’ll,156
snitch,156
fate,156
hustlers,156
role,156
windows,155
gear,155
notice,155
remind,155
wig,155
continue,155
bronx,155
months,155
weapon,155
mcs,155
'till,155
air,,155
weather,155
(no,155
numbers,155
lived,155
bro,155
shooting,154
card,154
foes,154
pimpin',154
pretend,154
enter,154
from,,154
bent,154
